id,title,source,category,sourceUrl,url
pus-494c874a-5c80-40bb-ba82-c79edba238c1,Cornhuskers,pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/494c874a-5c80-40bb-ba82-c79edba238c1/,
pus-2868197c-351d-4205-a5fb-408c691f8751,The Green Eyes of Bast,pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/2868197c-351d-4205-a5fb-408c691f8751/,
pus-63c462b2-8c79-4dc4-93cd-caaa6a20338a,Toilers of the Sea,pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/63c462b2-8c79-4dc4-93cd-caaa6a20338a/,
pus-ce646793-2599-4445-b48c-4812c36be1f5,The Life Adventures and Piracies of the Famous Captain Singleton,pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/ce646793-2599-4445-b48c-4812c36be1f5/,
pus-67f70670-2e93-4667-82c0-ae3438d5d1e8,खेल्न मजा,pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/67f70670-2e93-4667-82c0-ae3438d5d1e8/,
pus-d3277d83-c682-40df-a4cf-2c98b3d48c80,बहर वाटिका (गजलसिद्धान्त र प्रयोग),pustakalaya-stories,Story,https://pustakalaya.org/documents/detail/d3277d83-c682-40df-a4cf-2c98b3d48c80/,
pus-7e307301-4911-4af7-8fbd-76d5adae2a9d,Wiktionary,pustakalaya-reference,Reference,https://pustakalaya.org/documents/detail/7e307301-4911-4af7-8fbd-76d5adae2a9d/,
pus-2a865eba-2a85-47f0-9ef1-7d2f45b2313e,CK-12 Trigonometry - Second Edition,pustakalaya-course,Course Materials,https://pustakalaya.org/documents/detail/2a865eba-2a85-47f0-9ef1-7d2f45b2313e/,
pus-a616b202-406a-4ea5-a57d-ecd9afeb01ff,An Elementary Study of Chemistry,pustakalaya-course,Course Materials,https://pustakalaya.org/documents/detail/a616b202-406a-4ea5-a57d-ecd9afeb01ff/,
pus-df4abfe5-12d5-4e90-bc2c-231e56053f91,खुला सिकाइ शिक्षा: पूर्वव्यावसायिक शिक्षा (निम्नमाध्यमिक तहको पाठ्यक्रम),pustakalaya-teaching,Teaching Materials,https://pustakalaya.org/documents/detail/df4abfe5-12d5-4e90-bc2c-231e56053f91/,
pus-fc19b5ca-6d22-4153-9a0a-d1788c040e10,Violence in the school (Prospects; XXVI),pustakalaya-teaching,Teaching Materials,https://pustakalaya.org/documents/detail/fc19b5ca-6d22-4153-9a0a-d1788c040e10/,
pus-31952252-af25-40a6-97d6-2b0cdd7d17a6,Himal Southasian [Magazine],pustakalaya-teaching,Teaching Materials,https://pustakalaya.org/documents/detail/31952252-af25-40a6-97d6-2b0cdd7d17a6/,
pus-33c3cfe0-d397-4474-8116-4afc7370aa56,वार्षिक विद्यालय सुधार योजना अध्यावधिकका लागि सहयोगी तालिम पुस्तिका तथा विद्यालयमा विपद् पूर,pustakalaya-teaching,Teaching Materials,https://pustakalaya.org/documents/detail/33c3cfe0-d397-4474-8116-4afc7370aa56/,
pus-ebff992a-7793-42a3-8437-846d5b0246de,Status of Female Teachers in Nepal,pustakalaya-teaching,Teaching Materials,https://pustakalaya.org/documents/detail/ebff992a-7793-42a3-8437-846d5b0246de/,
